,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,Comunidad_Autonoma,Cluster_Marca,Cluster_Modelo
76,3900,Diésel,2001.0,283537,130.0,True,Galicia,Premium,sedan_grande
77,20200,Diésel,2018.0,62000,114.0,True,Catalunya,Premium,furgon_pasajero
78,13000,Diésel,2016.0,42000,141.0,False,Comunidad_de_Madrid,Standard,sedan_pequeno
79,1200,Diésel,1996.0,204900,166.58011049723757,False,Catalunya,Premium,sedan_pequeno
80,2500,Gasolina,2010.0,247140,60.0,False,Comunidad_de_Madrid,Standard,compacto_pequeno
81,26500,Diésel,2016.0,75000,180.0,True,Andalucía,Premium,suv_grande
82,13900,Gasolina,2019.0,9719,112.0,True,Comunidad_de_Madrid,Standard,suv_pequeno
85,11900,Gasolina,2014.0,79000,125.0,True,País_Vasco,Standard,compacto_grande
86,21990,Gasolina,2020.0,10,126.0,True,Catalunya,Mid_Premium,compacto_grande
88,1000,Gasolina,1999.0,70000,60.0,False,Catalunya,Low_Cost,compacto_pequeno
89,2999,Diésel,2005.0,270000,114.60526315789474,False,Comunidad_Valenciana,Standard,suv_grande
90,23200,Diésel,2018.0,22000,136.0,False,Comunidad_Valenciana,Premium,compacto_pequeno
92,32200,Diésel,2020.0,9600,150.0,True,País_Vasco,Premium,compacto_grande
94,4200,Diésel,2005.0,251000,128.46183953033267,False,Andalucía,Premium,compacto_grande
95,1390,Gasolina,2002.0,194000,193.0,False,Canarias,Mid_Premium,sedan_grande
96,28611,Diésel,2020.0,15555,130.0,True,Comunidad_de_Madrid,Standard,suv_grande
97,15900,Diésel,2017.0,59000,115.0,True,Comunidad_Valenciana,Standard,suv_grande
98,17500,Diésel,2012.0,200000,150.0,False,Comunidad_Valenciana,Mid_Premium,suv_grande
99,10300,Gasolina,2018.0,22000,90.0,True,Comunidad_Valenciana,Low_Cost,compacto_pequeno
100,9000,Diésel,2013.0,110000,92.0,False,Catalunya,Standard,compacto_pequeno
101,15490,Diésel,2015.0,135000,190.0,True,Comunidad_de_Madrid,Premium,sedan_grande
102,2100,Diésel,2010.0,261236,97.58730158730158,False,Comunidad_Valenciana,Standard,suv_grande
103,16216,Gasolina,2019.0,15181,100.0,True,Catalunya,Standard,suv_pequeno
104,1450,Diésel,2003.0,304555,130.0,False,País_Vasco,Standard,sedan_grande
105,17490,Diésel,2017.0,40227,116.0,True,Castilla_y_León,Premium,compacto_pequeno
106,20800,Diésel,2015.0,87646,200.0,True,Comunidad_de_Madrid,Premium,otro
108,8000,Diésel,2011.0,250000,88.10135135135135,False,Catalunya,Standard,furgon_trabajo
109,2400,Diésel,2001.0,288000,154.22428330522766,False,Andalucía,Premium,sedan_grande
110,30990,Eléctrico,2020.0,1,136.0,True,Comunidad_Valenciana,Standard,compacto_pequeno
111,4000,Diésel,2005.0,220000,136.0,False,Andalucía,Standard,sedan_grande
112,4000,Gasolina,1996.0,195000,150.0,False,Región_de_Murcia,Premium,sedan_pequeno
113,5500,Gasolina,2008.0,140000,110.0,True,Principado_de_Asturias,Standard,compacto_grande
114,900,Diésel,2005.0,255000,70.0,False,Catalunya,Low_Cost,compacto_pequeno
115,17799,Gas natural (CNG),2017.0,67236,110.0,True,Andalucía,Premium,compacto_grande
116,30535,Gasolina,2021.0,0,130.0,True,Comunidad_Valenciana,Standard,suv_grande
117,2950,Diésel,2008.0,175000,70.0,True,Catalunya,Standard,compacto_pequeno
118,18000,Gasolina,2019.0,10500,115.0,True,Comunidad_Valenciana,Mid_Premium,compacto_grande
119,11800,Diésel,2018.0,62853,100.0,True,Catalunya,Standard,compacto_grande
121,1999,Gasolina,2005.0,216000,82.0,True,Andalucía,Standard,otro
122,21900,Diésel,2017.0,75000,150.0,False,Comunidad_de_Madrid,Premium,suv_grande
123,9150,Diésel,2013.0,149467,140.0,True,Comunidad_Valenciana,Standard,sedan_grande
124,8600,Gasolina,2011.0,143741,135.0,True,Andalucía,Standard,suv_pequeno
125,29800,Gasolina,2019.0,19363,140.0,True,Aragón,Premium,suv_pequeno
126,11950,Diésel,2016.0,141600,112.0,True,Catalunya,Mid_Premium,suv_grande
127,8900,Diésel,2014.0,129000,115.0,True,Aragón,Standard,compacto_grande
129,27900,Diésel,2020.0,12997,150.0,True,Catalunya,Standard,suv_grande
130,21000,Diésel,2018.0,75000,136.0,False,Castilla_La_Mancha,Premium,compacto_pequeno
131,15400,Diésel,2019.0,15190,136.0,True,Catalunya,Standard,compacto_grande
132,10750,Gasolina,2018.0,8842,82.0,True,Islas_Baleares,Standard,compacto_pequeno
133,16950,Gasolina,2017.0,58000,140.0,True,Comunidad_de_Madrid,Standard,suv_pequeno
134,4000,Diésel,2004.0,91000,151.86567164179104,False,Comunidad_de_Madrid,Standard,sedan_grande
135,6200,Gasolina,1991.0,338000,215.95910780669143,False,Región_de_Murcia,Premium,sedan_pequeno
