,Marca,Modelo,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,dealer,Comunidad_Autonoma
66,TOYOTA,Corolla,1100,Diésel,2001.0,243215,70.0,True,Premium Cars Iberia,Comunidad_de_Madrid
67,VOLKSWAGEN,Golf,3000,Diésel,2006.0,300000,121.5489566613162,False,502ff82f7f1f8218dd41201fe4353687,Castilla_y_León
68,HYUNDAI,ix35,9850,Diésel,2011.0,110000,116.0,True,Automoviles Calcedo,Castilla_y_León
69,PEUGEOT,Expert,20400,Diésel,2019.0,14601,150.0,True,PSA Retail Valencia - Tres Cruces,Comunidad_Valenciana
70,FORD,Fiesta,1700,Gasolina,2006.0,135000,94.73568281938326,False,63fb1088241b0acdd7987af0c1f4f7e6,Comunidad_Valenciana
71,AUDI,A1,11500,Diésel,2015.0,96850,90.0,False,78e2e2bc08d818511306346dfb97389c,Comunidad_Valenciana
72,FIAT,500L,9700,Diésel,2016.0,71983,95.0,True,Autos J. del Paso,Andalucía
73,OPEL,Mokka X,13900,Gasolina,2016.0,31000,140.0,True,Ibermotor,Catalunya
74,BMW,Serie 3,8500,Diésel,2008.0,170000,170.32142857142858,False,651faef175451b43088ed6fab4aab961,Andalucía
75,RENAULT,Megane,11690,Diésel,2016.0,59919,110.0,True,Clicars,Comunidad_de_Madrid
76,AUDI,A4,3900,Diésel,2001.0,283537,130.0,True,Auto Iglemar Lugo,Galicia
77,MERCEDES-BENZ,Vito,20200,Diésel,2018.0,62000,114.0,True,Grup Automotive,Catalunya
78,HYUNDAI,i40,13000,Diésel,2016.0,42000,141.0,False,364a440226e1b575411a0e324e712d17,Comunidad_de_Madrid
79,MERCEDES-BENZ,Clase C,1200,Diésel,1996.0,204900,166.58011049723757,False,2ef17e64e66ef48b4a88011297b9e82e,Catalunya
80,SEAT,Ibiza,2500,Gasolina,2010.0,247140,60.0,False,4fb845c67d91bcb3178498fc6fe1fedc,Comunidad_de_Madrid
81,JAGUAR,F-Pace,26500,Diésel,2016.0,75000,180.0,True,AUTOCASION CABAS,Andalucía
82,NISSAN,JUKE,13900,Gasolina,2019.0,9719,112.0,True,Gyata,Comunidad_de_Madrid
83,ASTON MARTIN,Vantage,139990,Gasolina,2019.0,8000,510.0,True,LG Automocion,Canarias
84,MERCEDES-BENZ,Clase GLS,54900,Diésel,2017.0,122300,258.0,True,Mercedes-Benz Indese,Andalucía
85,FORD,Focus,11900,Gasolina,2014.0,79000,125.0,True,Carza Ocasión,País_Vasco
86,HONDA,Civic,21990,Gasolina,2020.0,10,126.0,True,Mavisa,Catalunya
87,AUDI,S5,14500,Gasolina,2008.0,239000,346.3636363636364,False,4f31d3d700633190012684ff40241f18,Andalucía
88,FIAT,Punto,1000,Gasolina,1999.0,70000,60.0,False,95ab6cdfaa9d646f83061a936bfb8996,Catalunya
89,SEAT,ALTEA,2999,Diésel,2005.0,270000,114.60526315789474,False,606afbc6612c2186d7309ecbad16cebc,Comunidad_Valenciana
90,MERCEDES-BENZ,Clase B,23200,Diésel,2018.0,22000,136.0,False,aefe34008e63f1eb205dc4c4b8322253,Comunidad_Valenciana
91,AUDI,A8,29999,Gasolina,2009.0,116000,450.0,True,AutoCostadelSol,Andalucía
92,AUDI,A3,32200,Diésel,2020.0,9600,150.0,True,Autocentro Igara,País_Vasco
93,AUDI,A6,15900,Diésel,2011.0,206000,245.0,True,Telenauto Concesionario oficial Volkswagen,Castilla_y_León
94,AUDI,A3,4200,Diésel,2005.0,251000,128.46183953033267,False,fa717ba17306cd76900510df8ac8013e,Andalucía
95,VOLKSWAGEN,Passat,1390,Gasolina,2002.0,194000,193.0,False,2231d0878e1f14976c498ad49de37ef6,Canarias
96,PEUGEOT,5008,28611,Diésel,2020.0,15555,130.0,True,"H.Viñaras Toledo, S.A.",Comunidad_de_Madrid
97,KIA,Carens,15900,Diésel,2017.0,59000,115.0,True,CAR VALENCIA,Comunidad_Valenciana
98,LAND-ROVER,Range Rover Evoque,17500,Diésel,2012.0,200000,150.0,False,70483b6e100c9cebbffcdc62dea07eda,Comunidad_Valenciana
99,DACIA,Sandero,10300,Gasolina,2018.0,22000,90.0,True,Automoviles Fr Sport,Comunidad_Valenciana
100,PEUGEOT,207,9000,Diésel,2013.0,110000,92.0,False,aa47f8215c6f30a0dcdb2a36a9f4168e,Catalunya
101,BMW,Serie 5,15490,Diésel,2015.0,135000,190.0,True,Century Cars,Comunidad_de_Madrid
102,CITROEN,Xsara Picasso,2100,Diésel,2010.0,261236,97.58730158730158,False,cd9c358d567d5e8633aa923ce3152e92,Comunidad_Valenciana
103,KIA,Stonic,16216,Gasolina,2019.0,15181,100.0,True,Kia Garancar,Catalunya
104,FORD,Mondeo,1450,Diésel,2003.0,304555,130.0,False,66d4eba1ef597de09bba4df963923f3a,País_Vasco
105,BMW,Serie 1,17490,Diésel,2017.0,40227,116.0,True,Automotor Dursan B.,Castilla_y_León
106,JAGUAR,XF,20800,Diésel,2015.0,87646,200.0,True,Ocasion Plus,Comunidad_de_Madrid
107,VOLKSWAGEN,Caravelle,45800,Diésel,2016.0,66500,114.0,False,662eaa47199461d01a623884080934ab,Islas_Baleares
108,PEUGEOT,Partner,8000,Diésel,2011.0,250000,88.10135135135135,False,a96545ae0e087a3105820408cec74660,Catalunya
109,AUDI,A4,2400,Diésel,2001.0,288000,154.22428330522766,False,3d7c82f77756f97a1edfaa344c4d4f2f,Andalucía
110,PEUGEOT,e-208,30990,Eléctrico,2020.0,1,136.0,True,Psa Retail Valencia Tres Cruces,Comunidad_Valenciana
111,PEUGEOT,407,4000,Diésel,2005.0,220000,136.0,False,25ed2cf8299875a2b62367d00f4ea98b,Andalucía
112,BMW,Serie 3,4000,Gasolina,1996.0,195000,150.0,False,f4dfec9b9248804fe0629b9dd78ffefd,Región_de_Murcia
113,CITROEN,C4,5500,Gasolina,2008.0,140000,110.0,True,Motorprix,Principado_de_Asturias
114,OPEL,Corsa,900,Diésel,2005.0,255000,70.0,False,1ae3c3578ec4330f0361b0d0063c1f31,Catalunya
115,AUDI,A3,17799,Gas natural (CNG),2017.0,67236,110.0,True,DriveOn,Andalucía
116,PEUGEOT,3008,30535,Gasolina,2021.0,0,130.0,True,AUTODISA CONCESIONARIO OFICIAL PEUGEOT,Comunidad_Valenciana
117,CITROEN,C3,2950,Diésel,2008.0,175000,70.0,True,Automóviles Montoya,Catalunya
118,VOLKSWAGEN,Golf,18000,Gasolina,2019.0,10500,115.0,True,Grupo Sala,Comunidad_Valenciana
119,PEUGEOT,308,11800,Diésel,2018.0,62853,100.0,True,Vallescar Ocasion,Catalunya
120,VOLKSWAGEN,Golf,2795,Diésel,1990.0,176000,121.5489566613162,False,607fe3624a0f7b23caf51504e5ce04bf,Islas_Baleares
121,MITSUBISHI,Space Star,1999,Gasolina,2005.0,216000,82.0,True,Auto Zone,Andalucía
122,AUDI,Q3,21900,Diésel,2017.0,75000,150.0,False,ab02fceb9689114b1cd1844e456c0695,Comunidad_de_Madrid
123,FORD,Mondeo,9150,Diésel,2013.0,149467,140.0,True,Ocasion Plus,Comunidad_Valenciana
124,HYUNDAI,ix35,8600,Gasolina,2011.0,143741,135.0,True,Ocasion Plus,Andalucía
125,BMW,X1,29800,Gasolina,2019.0,19363,140.0,True,Augusta Aragon,Aragón
126,TOYOTA,Verso,11950,Diésel,2016.0,141600,112.0,True,MORENO MOTORS XCD,Catalunya
127,FORD,Focus,8900,Diésel,2014.0,129000,115.0,True,Renault Auto Cuatro,Aragón
128,BMW,Serie 5,22999,Diésel,2015.0,132802,258.0,True,AUTOGRADO,Andalucía
129,SEAT,Ateca,27900,Diésel,2020.0,12997,150.0,True,Automotor y Servicios S.A,Catalunya
130,MERCEDES-BENZ,Clase A,21000,Diésel,2018.0,75000,136.0,False,3fb4b5eb20a39e30b55e2d387541ccd2,Castilla_La_Mancha
131,KIA,ceed,15400,Diésel,2019.0,15190,136.0,True,Automobils A.R. MOTORS,Catalunya
132,PEUGEOT,208,10750,Gasolina,2018.0,8842,82.0,True,Automóviles Coll,Islas_Baleares
133,JEEP,Renegade,16950,Gasolina,2017.0,58000,140.0,True,C.S.V.,Comunidad_de_Madrid
134,RENAULT,Espace,4000,Diésel,2004.0,91000,151.86567164179104,False,b2a710793c455daf2a260c62c8846b2a,Comunidad_de_Madrid
135,BMW,Serie 3,6200,Gasolina,1991.0,338000,215.95910780669143,False,78843575bf3437d87361a2aba0a3fdea,Región_de_Murcia
136,HYUNDAI,ix35,7800,Diésel,2013.0,165000,128.5,False,464e07afc9e46359fb480839150595c5,Andalucía
137,CITROEN,C5,1200,Diésel,2005.0,70000,110.0,False,c44129b3424a586687d0c803c7155bf3,Navarra
138,CITROEN,C4 Sedan,4300,Diésel,2009.0,146000,110.0,True,Moragacar,Andalucía
139,BMW,Serie 1,4690,Gasolina,2005.0,299030,129.0,True,Tallers Plaja,Catalunya
140,FORD,EcoSport,17790,Gasolina,2020.0,0,140.0,True,Grupo Montalt Mundicar,Comunidad_Valenciana
141,BMW,Serie 3,8500,Diésel,2008.0,203000,170.32142857142858,False,43036e9ae9b6329382440f17582e9cfb,Comunidad_de_Madrid
142,HYUNDAI,Kona,17700,Gasolina,2020.0,14167,120.0,True,Guadalete Motor,Andalucía
143,SKODA,Fabia,7499,Gasolina,2014.0,18305,86.0,True,Autohero,Comunidad_de_Madrid
144,OPEL,Corsa,14400,Gasolina,2020.0,9322,100.0,True,PSA Retail Vigo,Galicia
145,RENAULT,Laguna,2500,Diésel,2005.0,140600,131.66304347826087,False,70483b6e100c9cebbffcdc62dea07eda,Andalucía
146,OPEL,Cabrio,12990,Diésel,2014.0,68000,165.0,True,MP Automocion,Catalunya
147,CITROEN,C3 Picasso,7899,Diésel,2015.0,61931,92.0,True,Autohero,Andalucía
148,RENAULT,Clio,1300,Gasolina,1990.0,125000,98.09813084112147,False,e10a635fc6f4cbedadc9f737ba741455,Galicia
149,MERCEDES-BENZ,Clase C,7500,Gasolina,2003.0,116567,218.0,False,4abfc0ac34c35d1661f7db16213fdb26,Comunidad_de_Madrid
150,OPEL,Grandland X,28990,Diésel,2020.0,5,130.0,True,Daniel Rovira,Catalunya
151,JEEP,Wrangler,7990,Gasolina,2002.0,161000,118.0,False,a42328b770b0a19c8efbe2d60ebb41d7,Canarias
152,PEUGEOT,207,6700,Diésel,2008.0,97000,110.0,True,Automoviles Puras,Castilla_y_León
153,BMW,Serie 1,20990,Diésel,2019.0,37120,116.0,True,Motor Gamboa,Comunidad_de_Madrid
154,VOLKSWAGEN,Jetta,13000,Gasolina,2013.0,225000,108.33333333333331,False,4d236810821e8e83a025f2a83ea31820,Comunidad_de_Madrid
155,NISSAN,Navara,6800,Diésel,2003.0,229000,168.64705882352942,False,fa2e32ed9f79e1d87f12f3ff341018f5,Andalucía
156,AUDI,A6 allroad quattro,30150,Diésel,2016.0,119131,272.0,True,Ald Automotive,Catalunya
157,OPEL,Astra,20500,Diésel,2019.0,30,136.0,True,Opel Divisa,Andalucía
158,JEEP,Renegade,22500,Gasolina,2020.0,5,120.0,True,Automóviles Cervera,Castilla_y_León
159,OPEL,Adam,7490,Gasolina,2014.0,102200,100.0,True,AUTOS MUSKIZ,País_Vasco
160,MITSUBISHI,Eclipse,12000,Gasolina,1997.0,170000,141.0,False,9a2d5988699b216890e59f72ce2d70d9,Catalunya
161,BMW,Serie 3,6900,Diésel,2006.0,146000,150.0,True,Mugarsport,Comunidad_de_Madrid
162,VOLKSWAGEN,Golf,14400,Diésel,2014.0,128319,150.0,True,Ocasion Plus,Castilla_La_Mancha
163,DS,DS 3,22900,Gasolina,2017.0,33000,208.0,True,Grupo Gallardo Servicios Globales,Galicia
164,VOLVO,S40,5200,Diésel,2010.0,170000,109.0,False,2bba1f8214e7b0b5fe6f9fce04d76900,Catalunya
165,VOLKSWAGEN,Sharan,25990,Diésel,2016.0,66000,150.0,True,TOP CAR,Castilla_y_León
166,CITROEN,C5 Aircross,24900,Gasolina,2019.0,6599,181.0,True,Ferto Valencia,Comunidad_Valenciana
167,OPEL,Astra,6900,Diésel,2014.0,122000,110.0,False,885383f16fccd10370814fcd862aa10d,Andalucía
168,VOLKSWAGEN,Eos,11990,Diésel,2011.0,98500,140.0,False,7ddc47f0d94ce111733d6235c9ba932d,Andalucía
169,MERCEDES-BENZ,190,4500,Gasolina,1992.0,180000,132.0,False,3f3ce8d94f88d42322e7204f702c138f,Navarra
170,SKODA,Superb,19910,Gasolina,2018.0,144500,180.0,True,Leasing Automobile,Comunidad_Valenciana
171,CITROEN,C8,2500,Diésel,2006.0,250000,123.8181818181818,False,8356d3efbbbd605931c365490f61594c,La_Rioja
172,BMW,Serie 2 Gran Tourer,22000,Diésel,2016.0,60000,190.0,True,ALD Sevilla,Andalucía
173,OPEL,Insignia,11700,Diésel,2014.0,150000,139.46621621621622,False,8a32eef27aaf23ab9ba18e731686361a,Catalunya
174,FORD,Fiesta,8700,Gasolina,2017.0,55600,85.0,True,Grupo Montalt,Región_de_Murcia
175,PEUGEOT,406,750,Diésel,1998.0,180000,108.4,False,1db2fa011bae44a2ca5e73b04b96d027,Catalunya
176,CITROEN,Grand C4 Spacetourer,15500,Diésel,2018.0,39000,120.0,False,83f9c4eb242966cdcada1d01be5d9b15,Catalunya
177,NISSAN,LEAF,28950,Eléctrico,2020.0,6000,150.0,True,Arvesa,Aragón
178,BMW,Serie 1,9750,Diésel,2013.0,135000,116.0,False,c1937b687795ce80be0ecf20e1811441,Comunidad_Valenciana
179,PEUGEOT,Partner,5500,Diésel,2013.0,271000,75.0,False,a084288bc6a0f07728af01f6b4dfe6d3,Comunidad_de_Madrid
180,BMW,Serie 1,4900,Gasolina,2006.0,188000,115.0,False,7f1e43d880f09c64ac6378af6de47702,Andalucía
181,FORD,Focus,19900,Diésel,2019.0,17000,150.0,True,Automoviles y Talleres Andres,Aragón
182,PEUGEOT,5008,22900,Gasolina,2019.0,17783,130.0,True,Auto 95,Catalunya
183,BMW,Serie 3,14800,Diésel,2010.0,115000,177.0,False,835a442310ffa48b8a47e2d15dc8e387,Región_de_Murcia
184,DS,DS 4,12890,Gasolina,2016.0,59351,131.0,True,Clicars,Comunidad_de_Madrid
185,VOLKSWAGEN,Tiguan,24400,Diésel,2019.0,64000,150.0,False,967fc0ee903cd7fd9388cc6e9c3cc0e0,Comunidad_de_Madrid
186,NISSAN,X-TRAIL,20990,Gasolina,2018.0,25208,163.0,True,Motor Gamboa,Comunidad_de_Madrid
187,MERCEDES-BENZ,Clase C,25900,Diésel,2016.0,61000,170.0,True,TOP CAR,País_Vasco
188,AUDI,e-tron,75000,Eléctrico,2019.0,1800,408.0,True,Autoprofessional,Región_de_Murcia
189,BMW,X5,29990,Diésel,2015.0,175000,218.0,True,Up Motor,País_Vasco
190,FIAT,Ducato,1200,Diésel,2000.0,400000,128.9433962264151,False,f642fa88a7d86bf07d64744c433e6354,Comunidad_de_Madrid
191,FORD,Fusion,1800,Diésel,2006.0,274000,90.0,False,c22041c129ef2d2205225c4832fe83df,Andalucía
192,VOLKSWAGEN,Golf,15900,Diésel,2017.0,87741,115.0,True,"Volkswagen Madrid, S.A.",Comunidad_de_Madrid
193,TOYOTA,Corolla,19900,Híbrido,2019.0,30951,122.0,True,Naymotor,Catalunya
194,CITROEN,Berlingo,13552,Diésel,2016.0,120465,100.0,True,Vidal Movil,Comunidad_de_Madrid
195,KIA,Carens,12700,Gasolina,2017.0,33000,134.0909090909091,False,a51a5dfdb7659050dfc444c602f032b9,Castilla_y_León
196,BMW,Serie 3,12000,Diésel,2011.0,190000,170.32142857142858,True,Adarsa,Galicia
197,MERCEDES-BENZ,Clase A,32000,Diésel,2020.0,10900,122.85889570552148,True,Mercedes Adarsa Asturias (Grupo Adarsa),Principado_de_Asturias
198,SEAT,Ibiza,1100,Gasolina,2004.0,249500,88.73988439306359,False,c899a91880ee511c03f5810cf9eaa022,Canarias
199,SEAT,Ibiza,2200,Diésel,2004.0,124800,94.28936170212766,False,de61d555cbfc33c465d5059ce45829a7,Islas_Baleares
200,NISSAN,QASHQAI,16900,Diésel,2017.0,29800,110.0,True,Romauto Badalona,Catalunya
201,RENAULT,Scenic,15500,Gasolina,2017.0,82000,130.0,True,Talleres Pemesi,Comunidad_Valenciana
202,SEAT,Ibiza,3900,Diésel,2010.0,270000,94.28936170212766,False,c973d4a3dbba1ef55d1c6044968fc305,Región_de_Murcia
203,SEAT,Ibiza,2200,Gasolina,2004.0,155000,75.0,True,G13 Automoviles Costa Brava,Catalunya
204,AUDI,Q5,31990,Diésel,2018.0,69790,163.0,True,Automóviles Martitoni S.L,Castilla_La_Mancha
205,FORD,Fiesta,10800,Gasolina,2018.0,50000,100.0,True,Colchero Autocasion,Andalucía
206,RENAULT,Kadjar,23500,Diésel,2020.0,28,115.0,True,Castilla Selection Ávila,Castilla_y_León
207,PEUGEOT,407,1700,Diésel,2004.0,320000,110.0,True,Automoviles 7ª Avenida SLU,Extremadura
208,FORD,Focus,7000,Diésel,2011.0,156000,116.67323943661972,False,098a50f333b9fc79b806dd51ed4ea859,Andalucía
209,SEAT,Leon,4999,Diésel,2004.0,200000,150.0,True,Ondiviela Motor,Aragón
210,MINI,MINI,3550,Gasolina,2004.0,164000,136.39144736842104,False,7aa99682f9d3a129f54e0eae9ccd3628,Región_de_Murcia
211,PEUGEOT,206 SW,1500,Diésel,2002.0,353300,76.66666666666667,False,301509102ebca4759d86a5ade3960059,Andalucía
212,RENAULT,Megane,10100,Diésel,2016.0,102961,110.0,True,CarNext.com,Comunidad_de_Madrid
213,CITROEN,C5,1450,Diésel,2002.0,260000,110.0,True,Cochesamil,Comunidad_Valenciana
214,CITROEN,Berlingo,5500,Diésel,2014.0,173000,90.0,True,Autocasionplus.net,Cantabria
215,SAAB,9-3,3490,Gasolina,2003.0,169000,150.0,True,SM Motor,Aragón
216,FORD,Transit Custom,15500,Diésel,2017.0,160000,105.0,True,Autocasionplus.net,País_Vasco
217,BMW,X4,26900,Diésel,2016.0,211749,258.0,True,Eresma Motor,Castilla_y_León
218,MERCEDES-BENZ,Sprinter,4300,Diésel,2001.0,336063,136.390625,False,c9adbd1a0c21ca61692c11d0461c42e5,Castilla_y_León
219,VOLKSWAGEN,Touareg,7900,Diésel,2004.0,239000,313.0,True,RIVERCARS MOTOR,Comunidad_de_Madrid
220,MERCEDES-BENZ,Clase B,20800,Diésel,2016.0,57000,136.0,True,Vtrc Automocion,Comunidad_de_Madrid
221,LAND-ROVER,Discovery Sport,27990,Diésel,2016.0,81000,180.0,True,TOP CAR,Castilla_y_León
222,NISSAN,QASHQAI,10690,Diésel,2013.0,97300,130.0,True,Velodico,Catalunya
223,BMW,Serie 3,2500,Diésel,2003.0,320000,150.0,False,51dc30ddc473d43a6011e9ebba6ca770,Catalunya
224,VOLKSWAGEN,Golf,7300,Diésel,2013.0,196000,121.5489566613162,False,9193ce3b31332b03f7d8af056c692b84,Canarias
225,TOYOTA,C-HR,22100,Híbrido,2019.0,40225,122.0,True,Grupo Gedauto,Extremadura
226,VOLKSWAGEN,Golf,15000,Gasolina,1985.0,189000,75.0,False,01e48b62ea325ee2c4b0afeb1c9dc7b0,Catalunya
227,TOYOTA,Auris,7000,Diésel,2015.0,180000,90.0,True,Jesus Mesta,Andalucía
228,PORSCHE,928,7500,Gasolina,1986.0,100000,315.0,False,1a5e9b272e3e1f9904485b93e7a34aa5,Extremadura
229,CITROEN,C1,14999,Gasolina,2020.0,2039,72.0,True,Concesión Oficial Citroën Álava Lascaray,País_Vasco
230,KIA,XCeed,21900,Gasolina,2019.0,9605,120.0,True,Paddock Motors,Comunidad_Valenciana
231,VOLKSWAGEN,Passat CC,10900,Diésel,2012.0,218000,140.0,True,Autos Huertas,Andalucía
